Job Title,Company Name,Location,avg_salary,python_yn,R_yn,spark,aws,excel,job_category
Data Scientist,"Tecolote Research
3.8","Albuquerque, NM",72.0,1,0,0,0,1,Data Scientist
Healthcare Data Scientist,"University of Maryland Medical System
3.4","Linthicum, MD",87.5,1,0,0,0,0,Data Scientist
Data Scientist,"KnowBe4
4.8","Clearwater, FL",85.0,1,0,1,0,1,Data Scientist
Data Scientist,"PNNL
3.8","Richland, WA",76.5,1,0,0,0,0,Data Scientist
Data Scientist,"Affinity Solutions
2.9","New York, NY",114.5,1,0,0,0,1,Data Scientist
Data Scientist,"CyrusOne
3.4","Dallas, TX",95.0,1,0,0,1,1,Data Scientist
Data Scientist,"ClearOne Advantage
4.1","Baltimore, MD",73.5,0,0,0,0,1,Data Scientist
Data Scientist,"Logic20/20
3.8","San Jose, CA",114.0,1,0,1,1,1,Data Scientist
Research Scientist,"Rochester Regional Health
3.3","Rochester, NY",61.0,0,0,0,0,0,Data Scientist 
Data Scientist,"<intent>
4.6","New York, NY",140.0,1,0,1,0,0,Data Scientist
Data Scientist,"Wish
3.5","San Jose, CA",163.5,1,0,0,0,0,Data Scientist
Data Scientist,"ManTech
4.1","Chantilly, VA",85.0,0,0,0,0,0,Data Scientist
Staff Data Scientist - Technology,"Walmart
3.2","Plano, TX",139.0,0,0,0,0,0,Data Scientist
Data Analyst,"Yesler
4.1","Seattle, WA",65.5,1,0,1,1,1,Data Analyst
Data Scientist,"Takeda Pharmaceuticals
3.7","Cambridge, MA",113.5,1,0,1,0,0,Data Scientist
Data Engineer I,"Audible
3.6","Newark, NJ",146.0,0,0,0,0,1,Data Engineer
"Scientist I/II, Biology","Blueprint Medicines
3.9","Cambridge, MA",102.0,0,0,0,0,1,Data Scientist 
Customer Data Scientist,"h2o.ai
4.3","Mountain View, CA",153.5,1,0,1,1,1,Data Scientist
Data Scientist - Health Data Analytics,"Nuna
4.2","San Francisco, CA",142.5,0,0,0,0,0,Data Scientist
Data Scientist,"Pinnacol Assurance
4.0","Denver, CO",87.5,1,0,0,0,1,Data Scientist
Data Scientist,"Porch
3.2","Seattle, WA",105.5,1,0,1,0,0,Data Scientist
Senior Data Scientist / Machine Learning,"Health IQ
3.9","Dallas, TX",96.0,0,0,0,0,1,Data Scientist
Data Scientist - Quantitative,"Truckstop.com
3.8","Chicago, IL",112.5,1,0,0,1,1,Data Scientist
Data Scientist,"SMC 3
4.3","Louisville, KY",84.0,1,0,0,0,1,Data Scientist
Data Scientist,"Novetta
4.0","Herndon, VA",143.0,1,0,0,1,0,Data Scientist
Digital Health Data Scientist,"Pfizer
4.0","Cambridge, MA",86.5,1,0,0,1,1,Data Scientist
Data Scientist,"First Tech Federal Credit Union
3.5","Hillsboro, OR",99.5,1,0,1,1,1,Data Scientist
Associate Data Analyst,"The Hanover Insurance Group
3.7","Worcester, MA",47.5,0,0,0,0,1,Data Analyst
Clinical Data Scientist,"Pfizer
4.0","Groton, CT",84.0,0,0,0,1,1,Data Scientist
Data Scientist,"KnowBe4
4.8","Clearwater, FL",85.0,1,0,1,0,1,Data Scientist
Data Scientist,"PNNL
3.8","Richland, WA",76.5,1,0,0,0,0,Data Scientist
Data Scientist,"Amrock
3.6","Detroit, MI",96.0,1,0,0,0,0,Data Scientist
Data Scientist / Machine Learning Expert,"Novartis
3.8","Cambridge, MA",114.5,1,0,0,0,0,Data Scientist
Data Scientist,"Juniper Networks
3.8","Sunnyvale, CA",121.0,1,0,1,0,1,Data Scientist
Data Scientist,"New England Biolabs
4.7","Ipswich, MA",112.5,1,0,0,0,1,Data Scientist
Web Data Analyst,"Clarity Insights
4.2","San Jose, CA",106.0,1,0,0,0,1,Data Analyst
Data Scientist,"Esri
3.5","Redlands, CA",107.0,1,0,1,1,0,Data Scientist
Data Scientist,"Systems & Technology Research
4.7","Woburn, MA",110.0,1,0,1,0,1,Data Scientist
Senior Data Scientist,"Sartorius
3.5","Fremont, CA",147.5,1,0,0,0,1,Data Scientist
Data Engineer,"Lancer Insurance
3.5","Long Beach, NY",106.0,1,0,0,0,1,Data Engineer
Data Analyst,"Sauce Labs
4.2","San Francisco, CA",88.0,1,0,0,1,1,Data Analyst
Data Engineer,"Persivia
3.6","Marlborough, MA",98.5,0,0,0,0,1,Data Engineer
Data Scientist - Algorithms & Inference,"Nuna
4.2","San Francisco, CA",142.5,0,0,0,0,0,Data Scientist
Scientist,"Edgewell Personal Care
3.4","Allendale, NJ",82.5,0,0,0,1,0,Data Scientist 
Senior Data Scientist,"Equity Residential
4.3","Chicago, IL",130.0,1,0,1,0,1,Data Scientist
Data Scientist,"BPA Services
5.0","Washington, DC",155.0,0,0,0,1,1,Data Scientist
Lead Data Scientist,"Visa Inc.
3.7","Bellevue, WA",184.5,1,0,0,0,1,Data Scientist
Associate Data Analyst,"Intrado
3.1","Longmont, CO",29.5,0,0,0,0,1,Data Analyst
Spectral Scientist/Engineer,"Centauri
4.7","Beavercreek, OH",86.5,0,0,0,0,0,Data Scientist 
College Hire - Data Scientist - Open to December 2019 Graduates,"Caterpillar
3.7","Peoria, IL",81.0,0,0,0,0,0,Data Scientist
Data Scientist,"Zimmerman Advertising
3.8","Fort Lauderdale, FL",91.0,1,0,0,0,1,Data Scientist
